City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hearst,CA,2023-01-04 12:26:50,49.6835,-83.6665,-1.59,100,100,4.56
68,Abha,SA,2023-01-04 12:22:37,18.2164,42.5053,67.82,30,40,21.85
69,Saint George,US,2023-01-04 12:24:39,37.1041,-113.5841,38.43,91,100,3.44
70,Albany,US,2023-01-04 12:26:38,42.6001,-73.9662,38.26,94,100,1.99
71,Asau,RO,2023-01-04 12:26:51,46.4333,26.4,43.72,86,99,2.93
72,Sao Joao Da Barra,BR,2023-01-04 12:24:48,-21.6403,-41.0511,82.49,79,95,9.37
73,Severo-Kurilsk,RU,2023-01-04 12:26:51,50.6789,156.125,16.75,54,12,2.15
74,Inhambane,MZ,2023-01-04 12:26:52,-23.865,35.3833,87.78,55,40,6.91
75,Leningradskiy,RU,2023-01-04 12:26:52,69.3833,178.4167,-15.75,90,100,17.07
76,Punta Arenas,CL,2023-01-04 12:24:55,-53.15,-70.9167,53.71,64,0,27.63
77,Banda Aceh,ID,2023-01-04 12:26:53,5.5577,95.3222,78.85,83,93,13.09
78,Sao Filipe,CV,2023-01-04 12:26:53,14.8961,-24.4956,77.67,54,98,11.95
79,Magole,TZ,2023-01-04 12:26:54,-6.3667,37.3667,90.95,39,21,7.02
80,Kandrian,PG,2023-01-04 12:26:54,-6.2167,149.55,79.09,82,100,15.93
81,Saint-Augustin,CA,2023-01-04 12:26:54,51.226,-58.6502,26.71,96,100,11.74
82,Sydney,AU,2023-01-04 12:26:15,-33.8679,151.2073,65.61,90,75,28.77
83,Emerald,AU,2023-01-04 12:26:55,-23.5333,148.1667,76.33,78,90,17.49
84,Tilichiki,RU,2023-01-04 12:26:55,60.4667,166.1,-20.69,88,5,10.87
85,Xai-Xai,MZ,2023-01-04 12:26:55,-25.0519,33.6442,88.12,52,1,11.27
86,Batagay-Alyta,RU,2023-01-04 12:26:56,67.8006,130.4114,-31.07,97,92,2.35
87,Rosarito,MX,2023-01-04 12:26:57,32.3333,-117.0333,58.24,86,100,9.15
88,Hithadhoo,MV,2023-01-04 12:26:57,-0.6,73.0833,80.8,73,18,11.41
89,Pisco,PE,2023-01-04 12:26:57,-13.7,-76.2167,68.05,88,100,2.3
90,Bireun,ID,2023-01-04 12:26:58,5.203,96.7009,78.39,85,93,2.84
91,Acapulco,MX,2023-01-04 12:22:58,16.8634,-99.8901,73.22,78,20,6.91
92,Salalah,OM,2023-01-04 12:27:59,17.0151,54.0924,80.69,61,75,10.36
93,Saskylakh,RU,2023-01-04 12:27:59,71.9167,114.0833,-46.68,100,87,4.45
94,Thompson,CA,2023-01-04 12:27:59,55.7435,-97.8558,10.56,85,100,2.3
95,Teya,RU,2023-01-04 12:28:00,60.3778,92.6267,-3.51,100,99,1.81
96,Acolla,PE,2023-01-04 12:28:00,-11.7319,-75.5463,50.47,78,100,2.39
97,Shamary,RU,2023-01-04 12:28:01,57.3434,58.2199,3.78,97,100,1.19
98,New Norfolk,AU,2023-01-04 12:28:01,-42.7826,147.0587,54.9,69,46,1.23
99,Hudiksvall,SE,2023-01-04 12:28:01,61.729,17.1036,23.99,92,100,8.39
100,Jamestown,US,2023-01-04 12:28:02,42.097,-79.2353,56.01,71,100,4.61
101,Cape Town,ZA,2023-01-04 12:27:45,-33.9258,18.4232,73.11,59,75,18.41
102,Srednekolymsk,RU,2023-01-04 12:28:02,67.45,153.6833,-27.45,96,100,3.69
103,Labuhan,ID,2023-01-04 12:28:03,-6.8844,112.2051,79.3,83,99,13.18
104,Iqaluit,CA,2023-01-04 12:28:03,63.7506,-68.5145,-4.27,83,100,12.66
105,Souillac,MU,2023-01-04 12:28:04,-20.5167,57.5167,82.78,78,75,5.75
106,Kruisfontein,ZA,2023-01-04 12:28:04,-34.0033,24.7314,69.89,65,100,18.37
107,Rocha,UY,2023-01-04 12:28:05,-34.4833,-54.3333,74.03,56,2,14.7
108,Olafsvik,IS,2023-01-04 12:28:05,64.8945,-23.7142,31.53,63,34,6.55
109,Okhotsk,RU,2023-01-04 12:28:06,59.3833,143.3,1.83,81,92,14.32
110,Camacari,BR,2023-01-04 12:27:57,-12.6975,-38.3242,82.17,76,46,4.72
111,Wucheng,CN,2023-01-04 12:28:06,29.6008,118.175,47.79,78,52,2.77
112,Rongcheng,CN,2023-01-04 12:28:06,30.634,117.8517,46.99,66,6,2.62
113,Mirnyy,RU,2023-01-04 12:28:07,62.5353,113.9611,-24.77,74,79,8.99
114,Carnarvon,AU,2023-01-04 12:28:07,-24.8667,113.6333,77.23,87,37,11.81
115,Raudeberg,NO,2023-01-04 12:28:07,61.9875,5.1352,41.86,56,100,5.08
116,Atuona,PF,2023-01-04 12:28:08,-9.8,-139.0333,78.1,72,27,19.69
117,Ancud,CL,2023-01-04 12:28:08,-41.8697,-73.8203,56.73,85,100,4.12
118,Shingu,JP,2023-01-04 12:28:09,33.7333,135.9833,41.95,57,5,8.1
119,Boffa,GN,2023-01-04 12:28:09,10.1667,-14.0333,92.5,28,0,2.21
120,Pangnirtung,CA,2023-01-04 12:28:10,66.1451,-65.7125,-2.2,84,100,6.91
121,Palembang,ID,2023-01-04 12:28:10,-2.9167,104.7458,78.89,83,20,4.61
122,Iranshahr,IR,2023-01-04 12:28:11,27.2025,60.6848,70.14,11,0,0.0
123,Putina,PE,2023-01-04 12:28:11,-15.4667,-69.4333,47.32,75,97,4.61
124,Manaquiri,BR,2023-01-04 12:28:12,-3.3167,-60.35,77.49,84,95,1.21
125,Zhigansk,RU,2023-01-04 12:28:12,66.7697,123.3711,-18.63,97,100,6.04
126,Provideniya,RU,2023-01-04 12:28:12,64.3833,-173.3,-3.06,94,95,7.16
127,Turukhansk,RU,2023-01-04 12:28:13,65.8167,87.9833,-20.22,93,93,7.07
128,Yumen,CN,2023-01-04 12:28:13,40.2833,97.2,23.04,37,27,5.61
129,Akdepe,TM,2023-01-04 12:28:14,42.0551,59.3788,57.29,53,10,7.7
130,Sampit,ID,2023-01-04 12:28:14,-2.5333,112.95,75.09,94,100,4.63
131,Castro,BR,2023-01-04 12:28:14,-24.7911,-50.0119,63.77,99,100,4.65
132,Rio Grande,BR,2023-01-04 12:28:15,-32.035,-52.0986,77.11,47,7,6.44
133,Vostok,RU,2023-01-04 12:28:15,46.4856,135.8833,-6.95,98,99,5.7
134,Notre-Dame-Du-Lac,CA,2023-01-04 12:28:16,47.6136,-68.7964,27.88,98,100,2.51
