City,City,Country,Max Temp,Lat,Lng,Hotel Name
494,Alcantara,BR,84.4,-2.4089,-44.4147,Pousada La Maison du Baron
497,Grand Gaube,MU,84.6,-20.0064,57.6608,Coco Villa
506,Trinidad,BO,80.58,-14.8333,-64.9,Hotel Palace
511,Oussouye,SN,86.18,12.485,-16.5469,Campement Alulum
513,Mayumba,GA,80.96,-3.432,10.6554,Résidence Hôtelière Fabso
520,Uvira,CD,81.01,-3.4067,29.1458,Batiment Kasangala
524,Sao Jose Da Coroa Grande,BR,83.57,-8.8978,-35.1478,Hotel do Sol
528,Daru,PG,77.14,-9.0763,143.2092,Kuki
530,Monrovia,LR,87.57,6.3005,-10.7969,Bella Casa Hotel
551,Itaqui,BR,87.71,-29.1253,-56.5531,Hotel Contursi
