City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kuytun,RU,54.3419,101.5036,2.07,93,48,3.0,scattered clouds
80,Port Elizabeth,ZA,-33.918,25.5701,76.32,56,20,9.22,few clouds
81,Grindavik,IS,63.8424,-22.4338,32.47,74,75,19.57,broken clouds
82,Vila Velha,BR,-20.3297,-40.2925,76.95,96,40,4.61,scattered clouds
83,Shimoda,JP,34.6667,138.95,45.93,65,41,6.15,scattered clouds
84,Katsuura,JP,35.1333,140.3,45.55,77,66,5.79,broken clouds
85,Tilichiki,RU,60.4667,166.1,-20.36,91,78,9.6,broken clouds
86,Sola,VU,-13.8833,167.55,82.42,75,100,12.88,overcast clouds
87,Lidkoping,SE,58.5052,13.1577,37.42,96,100,9.73,overcast clouds
88,Orsha,BY,54.5153,30.4053,8.82,81,85,6.11,overcast clouds
89,Adrar,MR,20.5022,-10.0711,69.21,17,100,16.04,overcast clouds
90,Sungaipenuh,ID,-2.0833,101.3833,64.76,99,99,2.19,very heavy rain
91,Qandala,SO,11.472,49.8728,78.55,65,4,7.81,clear sky
92,Georgetown,MY,5.4112,100.3354,82.33,69,20,8.05,light rain
93,Poum,NC,-20.2333,164.0167,81.52,82,100,12.84,overcast clouds
94,Aklavik,CA,68.2191,-135.0107,-12.06,98,99,1.92,overcast clouds
95,Kunstat,CZ,49.5065,16.5172,47.89,86,88,2.19,overcast clouds
96,Torbay,CA,47.6666,-52.7314,30.58,85,100,9.22,overcast clouds
97,Ust-Kuyga,RU,70.0167,135.6,-44.18,100,100,4.85,overcast clouds
98,Boa Vista,BR,2.8197,-60.6733,76.98,83,40,8.05,scattered clouds
99,Itoman,JP,26.1247,127.6694,60.82,65,20,16.11,few clouds
100,Kodiak,US,57.79,-152.4072,27.91,69,0,11.5,clear sky
101,Iqaluit,CA,63.7506,-68.5145,-20.47,76,100,17.27,overcast clouds
102,Lata,PT,40.1629,-8.3327,57.81,95,100,8.93,overcast clouds
103,Gejiu,CN,23.306,103.1635,41.61,61,0,1.21,clear sky
104,Portland,US,45.5234,-122.6762,46.83,89,75,7.0,broken clouds
105,Vardo,NO,70.3705,31.1107,17.58,73,20,10.36,light snow
106,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,17.27,broken clouds
107,Wanaka,NZ,-44.7,169.15,58.1,69,85,3.0,overcast clouds
108,Xining,CN,36.6167,101.7667,31.51,19,2,2.37,clear sky
109,Caravelas,BR,-17.7125,-39.2481,80.78,77,100,6.73,overcast clouds
110,Avarua,CK,-21.2078,-159.775,71.65,88,100,3.44,light intensity drizzle
111,Saldanha,ZA,-33.0117,17.9442,69.15,59,18,12.8,few clouds
112,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,93,100,10.94,overcast clouds
113,Ilulissat,GL,69.2167,-51.1,14.02,73,75,5.75,broken clouds
114,Maarianhamina,AX,60.0973,19.9348,30.06,86,100,19.57,light snow
115,Karasuk,RU,53.7377,78.0403,20.35,90,82,16.84,broken clouds
116,Bereda,ES,43.2686,-7.5406,52.57,97,100,7.56,overcast clouds
117,La Asuncion,VE,11.0333,-63.8628,76.23,87,89,10.76,overcast clouds
118,Harnosand,SE,62.6323,17.9379,32.0,95,100,22.75,snow
119,Dikson,RU,73.5069,80.5464,-14.15,97,100,12.48,overcast clouds
120,Vila,PT,42.0304,-8.1588,46.71,95,100,7.49,overcast clouds
121,Saint-Pierre,RE,-21.3393,55.4781,85.68,58,40,4.61,light rain
122,Khatanga,RU,71.9667,102.5,-35.66,97,100,4.68,overcast clouds
123,Pemangkat,ID,1.1667,108.9667,78.73,84,97,9.24,light rain
124,Ossora,RU,59.2353,163.0719,-11.87,85,83,5.79,broken clouds
125,Airai,TL,-8.9266,125.4092,61.88,84,95,2.21,overcast clouds
126,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,75.67,55,2,9.84,clear sky
127,Le Port,RE,-20.9373,55.2919,86.0,64,62,5.44,light rain
128,Ushuaia,AR,-54.8,-68.3,53.22,66,0,2.3,clear sky
129,Puntarenas,CR,9.9763,-84.8384,72.52,82,0,3.18,clear sky
130,Flinders,AU,-34.5833,150.8552,62.38,83,59,7.31,broken clouds
131,Mujiayingzi,CN,42.1167,118.7833,24.94,38,88,6.08,overcast clouds
132,Evensk,RU,61.95,159.2333,-16.31,81,31,6.22,scattered clouds
133,Tigil,RU,57.8,158.6667,-13.52,98,100,3.36,overcast clouds
134,Pathein,MM,16.7833,94.7333,73.85,76,27,8.72,scattered clouds
135,Tiksi,RU,71.6872,128.8694,-27.87,100,100,3.51,overcast clouds
136,Colares,PT,38.7992,-9.4469,62.76,96,75,15.01,light rain
137,Canutama,BR,-6.5339,-64.3831,75.94,86,89,2.77,overcast clouds
138,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,92,94,13.15,overcast clouds
139,Bambous Virieux,MU,-20.3428,57.7575,84.45,61,75,10.36,broken clouds
140,Tucupita,VE,9.0622,-62.051,72.64,98,100,3.24,overcast clouds
141,Chokurdakh,RU,70.6333,147.9167,-48.17,100,87,2.57,overcast clouds
142,Saint-Augustin,CA,51.226,-58.6502,14.88,73,100,2.24,overcast clouds
143,Hamilton,US,39.1834,-84.5333,29.93,94,100,0.0,fog
144,Tuatapere,NZ,-46.1333,167.6833,49.08,83,1,4.63,clear sky
145,Jumla,NP,29.2747,82.1838,41.29,32,0,1.99,clear sky
146,Jamestown,US,42.097,-79.2353,35.19,75,100,8.05,mist
147,Tselinnoye,RU,53.0833,85.6667,25.84,94,100,8.16,overcast clouds
148,Alta Floresta,BR,-9.8756,-56.0861,70.27,99,100,1.36,overcast clouds
149,Usinsk,RU,65.9939,57.5281,-27.8,93,14,8.81,few clouds
150,Sisimiut,GL,66.9395,-53.6735,12.45,81,95,7.67,overcast clouds
151,Vaini,TO,-21.2,-175.2,80.76,89,75,9.22,light rain
152,Mitsamiouli,KM,-11.3847,43.2844,82.53,73,73,5.23,light rain
153,Santa Ana,US,33.7456,-117.8678,57.11,64,0,0.0,clear sky
154,Narwar,IN,25.65,77.9,60.6,21,0,4.21,clear sky
155,Laguna,US,38.421,-121.4238,52.45,85,40,12.66,scattered clouds
156,Doha,QA,25.2867,51.5333,67.98,75,76,9.22,broken clouds
157,Bosaso,SO,11.2842,49.1816,78.94,61,9,10.47,clear sky
158,Umm Lajj,SA,25.0213,37.2685,74.68,35,18,8.03,few clouds
159,Honningsvag,NO,70.9821,25.9704,22.75,80,100,11.5,overcast clouds
160,Invermere,CA,50.5167,-116.0354,22.93,95,94,3.42,overcast clouds
161,Suclayin,PH,15.7568,121.5503,72.54,88,71,12.24,broken clouds
162,Hithadhoo,MV,-0.6,73.0833,81.32,76,64,8.39,broken clouds
163,Camacha,PT,33.0833,-16.3333,65.62,73,20,6.91,few clouds
164,Worthing,GB,50.8145,-0.3713,52.09,84,75,27.63,broken clouds
165,Baracoa,CU,20.3467,-74.4958,75.88,86,60,7.65,light rain
166,Noshiro,JP,40.2039,140.0242,33.42,83,99,4.14,overcast clouds
167,La Rioja,ES,42.25,-2.5,28.18,70,100,8.03,overcast clouds
168,Saint George,US,37.1041,-113.5841,37.99,87,0,0.0,clear sky
169,Narsaq,GL,60.9167,-46.05,12.42,65,100,7.07,overcast clouds
170,Estevan,CA,49.1334,-102.9842,8.94,92,0,14.97,clear sky
171,Vostok,RU,46.4856,135.8833,-7.13,99,71,3.87,broken clouds
172,Sao Filipe,CV,14.8961,-24.4956,74.25,64,96,11.7,overcast clouds
173,Mahebourg,MU,-20.4081,57.7,84.49,61,75,10.36,broken clouds
174,Broken Hill,AU,-31.95,141.4333,81.36,24,0,8.86,clear sky
175,Lavrentiya,RU,65.5833,-171.0,0.03,97,98,3.27,overcast clouds
176,Sitka,US,57.0531,-135.33,48.09,61,40,16.11,light rain
177,Zalantun,CN,48.0,122.7167,-0.99,92,17,2.15,few clouds
178,Isabela,PH,6.7085,121.9711,80.65,86,100,6.67,overcast clouds
179,Sept-Iles,CA,50.2001,-66.3821,19.4,92,100,4.61,light snow
180,Bugojno,BA,44.0572,17.4508,55.72,49,9,4.92,clear sky
181,Kavieng,PG,-2.5744,150.7967,81.59,76,81,4.61,broken clouds
182,Pachmarhi,IN,22.4667,78.4333,57.06,27,0,4.38,clear sky
183,Tasiilaq,GL,65.6145,-37.6368,21.36,67,88,8.48,overcast clouds
184,Belmonte,BR,-15.8631,-38.8828,82.11,72,100,6.71,overcast clouds
185,Kaeo,NZ,-35.1,173.7833,63.55,94,30,3.09,scattered clouds
186,Ngorongoro,TZ,-3.2397,35.4875,59.94,65,44,3.42,light rain
187,Calafell,ES,41.2,1.5683,61.81,61,6,10.0,clear sky
188,Pecos,US,31.4229,-103.4932,48.31,48,0,5.75,clear sky
189,Egvekinot,RU,66.3167,-179.1667,-8.16,89,98,7.83,overcast clouds
190,Henties Bay,NA,-22.116,14.2845,69.75,66,24,12.03,few clouds
191,Palora,EC,-1.7,-77.9333,66.31,96,99,1.97,overcast clouds
192,Castro,BR,-24.7911,-50.0119,61.84,73,43,12.08,scattered clouds
193,Husavik,IS,66.0449,-17.3389,26.22,91,100,7.92,overcast clouds
194,Broome,US,42.2506,-75.833,34.86,87,100,5.75,overcast clouds
195,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,94,100,16.11,light intensity drizzle
196,Calama,CL,-22.4667,-68.9333,57.69,35,0,13.8,clear sky
197,Anadyr,RU,64.75,177.4833,-1.7,84,75,8.95,broken clouds
198,Zyryanka,RU,65.75,150.85,-49.85,100,99,0.47,overcast clouds
199,Alofi,NU,-19.0595,-169.9187,76.89,100,100,9.22,heavy intensity rain
200,Pevek,RU,69.7008,170.3133,-14.73,96,100,1.36,light snow
201,Kabalo,CD,-6.05,26.9167,80.44,78,83,3.98,moderate rain
202,Niamey,NE,13.5137,2.1098,88.09,11,61,13.8,broken clouds
203,Livingston,GB,55.9029,-3.5226,47.48,90,100,5.57,overcast clouds
204,Muzaffarabad,PK,34.37,73.4711,59.23,43,100,2.28,light rain
205,Namatanai,PG,-3.6667,152.4333,79.54,82,88,2.62,light rain
206,Ponta Do Sol,PT,32.6667,-17.1,71.01,69,24,6.46,few clouds
207,Luderitz,NA,-26.6481,15.1594,74.64,52,0,9.1,clear sky
208,Tecoanapa,MX,16.5167,-98.75,72.99,80,0,3.44,clear sky
209,Lasa,IT,46.6166,10.7002,47.28,66,100,3.09,overcast clouds
210,Ixtapa,MX,20.7,-105.2,66.22,94,0,0.0,clear sky
211,Hoquiam,US,46.9809,-123.8893,47.93,95,20,9.22,few clouds
212,La Ronge,CA,55.1001,-105.2842,-0.15,85,0,5.75,clear sky
213,Yellowknife,CA,62.456,-114.3525,9.12,92,100,4.61,overcast clouds
214,Hokitika,NZ,-42.7167,170.9667,60.31,64,100,9.26,overcast clouds
215,Carnarvon,AU,-24.8667,113.6333,75.09,69,0,26.28,clear sky
216,Oistins,BB,13.0667,-59.5333,80.69,74,40,20.71,scattered clouds
217,Quatre Cocos,MU,-20.2078,57.7625,84.31,69,67,13.4,broken clouds
218,Birecik,TR,37.0294,37.9903,54.61,54,11,5.28,few clouds
219,Ararangua,BR,-28.9347,-49.4858,70.07,69,99,1.54,overcast clouds
220,Novyy Nekouz,RU,57.9029,38.07,-2.94,96,29,5.99,scattered clouds
221,Turukhansk,RU,65.8167,87.9833,-52.47,100,57,1.32,broken clouds
222,Codrington,AU,-38.2667,141.9667,67.64,54,0,8.93,clear sky
223,Okhotsk,RU,59.3833,143.3,-19.93,84,18,12.15,few clouds
224,Kharp,RU,66.8014,65.8081,-33.02,98,77,3.83,broken clouds
225,Erenhot,CN,43.6475,111.9767,24.46,46,81,12.41,broken clouds
226,Wailuku,US,20.8911,-156.5047,70.75,83,0,8.05,clear sky
227,Malakal,SS,9.5334,31.6605,92.1,15,5,7.14,clear sky
228,Temirtau,KZ,50.0544,72.9483,19.6,93,100,13.22,overcast clouds
229,Aleksandrov Gay,RU,50.147,48.5704,3.16,72,53,18.52,broken clouds
230,Tazovskiy,RU,67.4667,78.7,-44.57,99,32,3.91,scattered clouds
231,East London,ZA,-33.0153,27.9116,74.34,60,20,12.66,few clouds
232,Kaoma,ZM,-14.7833,24.8,76.35,68,99,6.51,light rain
233,Longyearbyen,SJ,78.2186,15.6401,26.44,68,75,9.22,broken clouds
234,Constitucion,CL,-35.3333,-72.4167,62.91,73,0,0.94,clear sky
235,Severo-Kurilsk,RU,50.6789,156.125,23.2,78,87,15.23,overcast clouds
236,Kadhan,PK,24.481,68.9859,78.93,24,0,8.41,clear sky
237,Dauriya,RU,49.9333,116.8667,-4.94,93,100,2.91,overcast clouds
238,Moindou,NC,-21.6924,165.677,78.4,89,100,0.96,moderate rain
239,Matamoros,MX,25.5333,-103.25,56.1,37,0,4.0,clear sky
240,Lekoni,GA,-1.5843,14.2591,88.48,45,97,5.82,light rain
241,Zhangye,CN,38.9342,100.4517,31.3,26,66,4.07,broken clouds
242,Labuhan,ID,-6.8844,112.2051,79.47,82,63,9.44,heavy intensity rain
243,Urucara,BR,-2.5364,-57.76,78.44,83,99,1.7,overcast clouds
244,Valdivia,CL,-39.8142,-73.2459,59.09,80,86,1.45,overcast clouds
245,Nemuro,JP,43.3236,145.575,28.47,65,54,6.51,broken clouds
246,Wewak,PG,-3.5534,143.6268,79.86,85,100,3.24,overcast clouds
247,Walvis Bay,NA,-22.9575,14.5053,72.55,56,0,12.66,clear sky
248,Poso,ID,-1.3959,120.7524,78.04,90,99,1.77,light rain
249,Richards Bay,ZA,-28.783,32.0377,72.59,63,98,14.97,overcast clouds
250,Vanimo,PG,-2.6741,141.3028,78.78,87,94,3.47,overcast clouds
251,Yenagoa,NG,4.9247,6.2642,97.77,22,36,6.26,scattered clouds
252,Lamont,US,35.2597,-118.9143,57.13,61,100,1.81,overcast clouds
253,Bilibino,RU,68.0546,166.4372,-10.46,99,100,0.43,overcast clouds
254,Haukipudas,FI,65.1765,25.3523,8.15,47,100,10.2,overcast clouds
255,Esperance,AU,-33.8667,121.9,62.42,64,75,9.53,broken clouds
256,Axim,GH,4.8699,-2.2405,87.37,57,41,5.59,scattered clouds
257,Tarko-Sale,RU,64.9225,77.785,-38.15,88,50,9.53,scattered clouds
258,Kerouane,GN,9.2667,-9.0167,90.88,15,11,7.49,few clouds
259,Geraldton,AU,-28.7667,114.6,68.41,73,0,19.57,clear sky
260,Krasnoye,UA,49.9145,24.6134,37.2,83,93,8.79,overcast clouds
261,Cardoso,BR,-20.0819,-49.9142,70.72,93,100,6.71,overcast clouds
262,Igrim,RU,63.1906,64.4162,-12.35,94,100,11.23,overcast clouds
263,Port Keats,AU,-14.25,129.55,81.09,82,10,17.36,clear sky
264,Fortuna,US,40.5982,-124.1573,49.35,95,100,25.32,moderate rain
265,Coahuayana,MX,18.7333,-103.6833,69.01,75,0,3.8,clear sky
266,Huilong,CN,31.8111,121.655,44.92,57,0,10.16,clear sky
267,Malibu,US,34.005,-118.8101,59.32,75,99,4.68,overcast clouds
268,Syracuse,IT,37.0881,15.2792,65.79,69,12,6.26,few clouds
269,Southbridge,US,42.0751,-72.0334,34.05,98,46,6.46,scattered clouds
270,Huangchuan,CN,32.1272,115.0394,55.27,31,0,8.88,clear sky
271,Bakchar,RU,57.0186,82.0711,13.87,95,100,7.38,overcast clouds
272,Dudinka,RU,69.4058,86.1778,-45.38,100,52,3.51,broken clouds
273,Chancay,PE,-11.5714,-77.2672,68.41,82,77,3.96,broken clouds
274,Zabaykalsk,RU,49.6333,117.3167,-3.06,97,98,1.83,overcast clouds
275,Kruisfontein,ZA,-34.0033,24.7314,74.88,47,8,13.0,clear sky
276,Kushima,JP,31.4583,131.2333,44.02,69,0,8.68,clear sky
277,Mbaiki,CF,3.8678,17.9892,98.69,16,79,5.44,broken clouds
278,Churapcha,RU,62.0025,132.4325,-50.42,100,61,2.93,broken clouds
279,Kualakapuas,ID,-3.0091,114.3876,76.96,92,100,2.35,moderate rain
280,Hami,CN,42.8,93.45,26.4,44,27,2.26,scattered clouds
281,Mayo,US,38.8876,-76.5119,42.75,73,75,5.75,broken clouds
282,Vertientes,CU,21.2594,-78.1464,70.41,95,2,8.52,clear sky
283,Adre,TD,13.4667,22.2,82.4,14,14,8.48,few clouds
284,Provideniya,RU,64.3833,-173.3,0.37,95,53,8.08,broken clouds
285,Cumana,VE,10.4635,-64.1775,75.65,82,92,6.08,overcast clouds
286,Clyde River,CA,70.4692,-68.5914,-27.17,68,0,4.61,clear sky
287,Sesimbra,PT,38.4445,-9.1015,62.74,86,83,17.85,broken clouds
288,Choya,RU,52.0108,86.5467,22.46,98,100,2.1,overcast clouds
289,Cabo San Lucas,MX,22.8909,-109.9124,66.51,75,48,4.74,scattered clouds
290,Weligama,LK,5.9667,80.4167,78.13,85,79,2.3,broken clouds
291,Camocim,BR,-2.9022,-40.8411,82.29,65,60,12.01,broken clouds
292,Fairbanks,US,64.8378,-147.7164,8.22,82,100,0.0,light snow
293,Abyek,IR,36.0667,50.55,44.26,47,65,6.62,broken clouds
294,Aquiraz,BR,-3.9014,-38.3911,89.46,58,40,12.28,scattered clouds
295,Loandjili,CG,-4.7561,11.8578,84.33,70,68,8.48,light rain
296,Valparaiso,CL,-33.0393,-71.6273,66.47,90,20,4.61,few clouds
297,Uyuni,BO,-20.4597,-66.825,49.01,66,100,8.97,overcast clouds
298,Kathu,TH,7.9178,98.3332,83.7,99,94,10.98,overcast clouds
299,Curvelo,BR,-18.7564,-44.4308,70.27,92,100,5.77,overcast clouds
300,Omsukchan,RU,62.5333,155.8,-39.96,97,90,3.49,overcast clouds
301,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,20,4.61,few clouds
302,Bermeo,ES,43.4209,-2.7215,61.48,59,95,25.88,overcast clouds
303,Bilma,NE,18.6853,12.9164,76.33,18,42,6.96,scattered clouds
304,Bethel,US,41.3712,-73.414,34.52,88,0,0.0,clear sky
305,Richmond,US,37.5538,-77.4603,35.47,82,100,0.0,overcast clouds
306,Barra Do Corda,BR,-5.5,-45.25,78.76,84,84,3.4,broken clouds
307,Finschhafen,PG,-6.6024,147.8681,81.19,83,99,6.24,overcast clouds
308,Misratah,LY,32.3754,15.0925,62.6,61,17,15.23,light rain
309,Buchanan,LR,5.8808,-10.0467,86.02,59,69,6.44,broken clouds
310,Tarakan,ID,3.3,117.6333,74.7,94,75,3.44,broken clouds
311,Pacific Grove,US,36.6177,-121.9166,51.66,82,20,5.75,few clouds
312,Lagoa,PT,39.05,-27.9833,61.3,90,100,26.08,overcast clouds
313,Malangwa,NP,26.8568,85.5581,62.8,40,0,7.83,clear sky
314,Kaitangata,NZ,-46.2817,169.8464,50.72,80,3,9.22,clear sky
315,Bonavista,CA,48.6499,-53.1147,27.05,70,99,5.53,overcast clouds
316,Luanda,AO,-8.8368,13.2343,81.61,75,92,13.09,overcast clouds
317,Inuvik,CA,68.3499,-133.7218,-1.34,84,100,4.61,overcast clouds
318,Kodinsk,RU,58.6881,99.1844,-1.79,92,99,8.12,overcast clouds
319,Kawalu,ID,-7.3817,108.2082,74.14,94,100,1.77,moderate rain
320,Lalin,ES,42.7167,-8.1167,52.29,96,100,9.71,overcast clouds
321,Maues,BR,-3.3836,-57.7186,81.28,78,88,2.73,light rain
322,Bure,ET,10.7,37.0667,72.39,36,64,7.47,broken clouds
